combination,n_models,strategy,models,weights,holdout_lower_ci,cv_lower_ci,gap
dr_learner+t_learner_lgb+t_learner_ridge,3,equal,"['dr_learner', 't_learner_lgb', 't_learner_ridge']","{'dr_learner': 0.3333333333333333, 't_learner_lgb': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333}",0.0155,,
x_learner+hurdle,2,equal,"['x_learner', 'hurdle']","{'x_learner': 0.5, 'hurdle': 0.5}",0.0144,,
t_learner_lgb+t_learner_ridge,2,equal,"['t_learner_lgb', 't_learner_ridge']","{'t_learner_lgb': 0.5, 't_learner_ridge': 0.5}",0.0143,,
t_learner_ridge+r_learner,2,equal,"['t_learner_ridge', 'r_learner']","{'t_learner_ridge': 0.5, 'r_learner': 0.5}",0.0141,,
t_learner_ridge+r_learner,2,gap_weights,"['t_learner_ridge', 'r_learner']","{'t_learner_ridge': 0.5014268242967794, 'r_learner': 0.4985731757032206}",0.0139,,
x_learner+hurdle,2,rank_weights,"['x_learner', 'hurdle']","{'hurdle': 0.6666666666666666, 'x_learner': 0.3333333333333333}",0.0135,,
r_learner+hurdle,2,rank_weights,"['r_learner', 'hurdle']","{'r_learner': 0.6666666666666666, 'hurdle': 0.3333333333333333}",0.013,,
dr_learner+x_learner+hurdle,3,equal,"['dr_learner', 'x_learner', 'hurdle']","{'dr_learner': 0.3333333333333333, 'x_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.0128,,
x_learner+r_learner+hurdle,3,equal,"['x_learner', 'r_learner', 'hurdle']","{'x_learner': 0.3333333333333333, 'r_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.0126,,
dr_learner+t_learner_ridge,2,gap_weights,"['dr_learner', 't_learner_ridge']","{'dr_learner': 0.4979641693811075, 't_learner_ridge': 0.5020358306188926}",0.0123,,
dr_learner+t_learner_ridge+r_learner,3,equal,"['dr_learner', 't_learner_ridge', 'r_learner']","{'dr_learner': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333, 'r_learner': 0.3333333333333333}",0.0123,,
t_learner_ridge+x_learner,2,rank_weights,"['t_learner_ridge', 'x_learner']","{'t_learner_ridge': 0.6666666666666666, 'x_learner': 0.3333333333333333}",0.0117,,
dr_learner+t_learner_ridge,2,equal,"['dr_learner', 't_learner_ridge']","{'dr_learner': 0.5, 't_learner_ridge': 0.5}",0.0111,,
t_learner_ridge,1,single,['t_learner_ridge'],{'t_learner_ridge': 1.0},0.0111,-0.0044,0.0223
t_learner_ridge+r_learner+hurdle,3,equal,"['t_learner_ridge', 'r_learner', 'hurdle']","{'t_learner_ridge': 0.3333333333333333, 'r_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.0104,,
dr_learner+t_learner_ridge,2,rank_weights,"['dr_learner', 't_learner_ridge']","{'dr_learner': 0.6666666666666666, 't_learner_ridge': 0.3333333333333333}",0.0099,,
t_learner_ridge+x_learner+hurdle,3,equal,"['t_learner_ridge', 'x_learner', 'hurdle']","{'t_learner_ridge': 0.3333333333333333, 'x_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.0088,,
t_learner_ridge+hurdle,2,equal,"['t_learner_ridge', 'hurdle']","{'t_learner_ridge': 0.5, 'hurdle': 0.5}",0.0084,,
dr_learner+t_learner_ridge+hurdle,3,equal,"['dr_learner', 't_learner_ridge', 'hurdle']","{'dr_learner': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.0082,,
x_learner+r_learner,2,rank_weights,"['x_learner', 'r_learner']","{'r_learner': 0.6666666666666666, 'x_learner': 0.3333333333333333}",0.0082,,
dr_learner+t_learner_ridge+x_learner,3,equal,"['dr_learner', 't_learner_ridge', 'x_learner']","{'dr_learner': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333, 'x_learner': 0.3333333333333333}",0.0075,,
t_learner_ridge+r_learner,2,rank_weights,"['t_learner_ridge', 'r_learner']","{'r_learner': 0.6666666666666666, 't_learner_ridge': 0.3333333333333333}",0.0074,,
t_learner_ridge+hurdle,2,gap_weights,"['t_learner_ridge', 'hurdle']","{'t_learner_ridge': 0.5038539553752535, 'hurdle': 0.49614604462474643}",0.007,,
t_learner_ridge+x_learner,2,equal,"['t_learner_ridge', 'x_learner']","{'t_learner_ridge': 0.5, 'x_learner': 0.5}",0.0066,,
dr_learner+t_learner_lgb+x_learner,3,ci_weights,"['dr_learner', 't_learner_lgb', 'x_learner']","{'dr_learner': 0.999999152543091, 't_learner_lgb': 0.0, 'x_learner': 0.0}",0.0059,,
dr_learner+t_learner_lgb+hurdle,3,ci_weights,"['dr_learner', 't_learner_lgb', 'hurdle']","{'dr_learner': 0.999999152543091, 't_learner_lgb': 0.0, 'hurdle': 0.0}",0.0059,,
dr_learner+t_learner_ridge,2,ci_weights,"['dr_learner', 't_learner_ridge']","{'dr_learner': 0.999999152543091, 't_learner_ridge': 0.0}",0.0059,,
dr_learner+t_learner_lgb,2,ci_weights,"['dr_learner', 't_learner_lgb']","{'dr_learner': 0.999999152543091, 't_learner_lgb': 0.0}",0.0059,,
dr_learner,1,single,['dr_learner'],{'dr_learner': 1.0},0.0059,0.0118,0.0233
dr_learner+t_learner_ridge+x_learner,3,ci_weights,"['dr_learner', 't_learner_ridge', 'x_learner']","{'dr_learner': 0.999999152543091, 't_learner_ridge': 0.0, 'x_learner': 0.0}",0.0059,,
dr_learner+x_learner+hurdle,3,ci_weights,"['dr_learner', 'x_learner', 'hurdle']","{'dr_learner': 0.999999152543091, 'x_learner': 0.0, 'hurdle': 0.0}",0.0059,,
dr_learner+t_learner_lgb+t_learner_ridge,3,ci_weights,"['dr_learner', 't_learner_lgb', 't_learner_ridge']","{'dr_learner': 0.999999152543091, 't_learner_lgb': 0.0, 't_learner_ridge': 0.0}",0.0059,,
dr_learner+t_learner_ridge+hurdle,3,ci_weights,"['dr_learner', 't_learner_ridge', 'hurdle']","{'dr_learner': 0.999999152543091, 't_learner_ridge': 0.0, 'hurdle': 0.0}",0.0059,,
dr_learner+hurdle,2,ci_weights,"['dr_learner', 'hurdle']","{'dr_learner': 0.999999152543091, 'hurdle': 0.0}",0.0059,,
dr_learner+x_learner,2,ci_weights,"['dr_learner', 'x_learner']","{'dr_learner': 0.999999152543091, 'x_learner': 0.0}",0.0059,,
t_learner_ridge+x_learner,2,gap_weights,"['t_learner_ridge', 'x_learner']","{'t_learner_ridge': 0.5034510759236703, 'x_learner': 0.49654892407632967}",0.0056,,
x_learner,1,single,['x_learner'],{'x_learner': 1.0},0.0052,-0.0115,0.024
dr_learner+x_learner+r_learner,3,equal,"['dr_learner', 'x_learner', 'r_learner']","{'dr_learner': 0.3333333333333333, 'x_learner': 0.3333333333333333, 'r_learner': 0.3333333333333333}",0.0038,,
dr_learner+x_learner,2,equal,"['dr_learner', 'x_learner']","{'dr_learner': 0.5, 'x_learner': 0.5}",0.0028,,
t_learner_lgb+t_learner_ridge,2,ci_weights,"['t_learner_lgb', 't_learner_ridge']","{'t_learner_lgb': 0.0, 't_learner_ridge': 0.0}",0.0026,,
t_learner_lgb+hurdle,2,ci_weights,"['t_learner_lgb', 'hurdle']","{'t_learner_lgb': 0.0, 'hurdle': 0.0}",0.0026,,
t_learner_ridge+x_learner,2,ci_weights,"['t_learner_ridge', 'x_learner']","{'t_learner_ridge': 0.0, 'x_learner': 0.0}",0.0026,,
t_learner_lgb+x_learner,2,ci_weights,"['t_learner_lgb', 'x_learner']","{'t_learner_lgb': 0.0, 'x_learner': 0.0}",0.0026,,
t_learner_lgb+t_learner_ridge+hurdle,3,ci_weights,"['t_learner_lgb', 't_learner_ridge', 'hurdle']","{'t_learner_lgb': 0.0, 't_learner_ridge': 0.0, 'hurdle': 0.0}",0.0026,,
