combination,n_models,strategy,models,weights,holdout_lower_ci,cv_lower_ci,gap
dr_learner+r_learner+hurdle,3,ci_weights,"['dr_learner', 'r_learner', 'hurdle']","{'dr_learner': 0.3285195247182605, 'r_learner': 0.32488646389748904, 'hurdle': 0.34659400230159854}",0.4382,,
dr_learner+hurdle,2,ci_weights,"['dr_learner', 'hurdle']","{'dr_learner': 0.4866137429488262, 'hurdle': 0.5133862435976557}",0.4381,,
dr_learner+t_learner_lgb,2,equal,"['dr_learner', 't_learner_lgb']","{'dr_learner': 0.5, 't_learner_lgb': 0.5}",0.4379,,
hurdle,1,single,['hurdle'],{'hurdle': 1.0},0.4376,0.3816,0.018799999999999983
dr_learner+t_learner_lgb,2,gap_weights,"['dr_learner', 't_learner_lgb']","{'dr_learner': 0.49895441237975746, 't_learner_lgb': 0.5010455876202426}",0.4371,,
dr_learner+t_learner_lgb+x_learner,3,ci_weights,"['dr_learner', 't_learner_lgb', 'x_learner']","{'dr_learner': 0.3478219026077325, 't_learner_lgb': 0.32955091518847085, 'x_learner': 0.3226271725874875}",0.437,,
t_learner_lgb+r_learner,2,gap_weights,"['t_learner_lgb', 'r_learner']","{'t_learner_lgb': 0.49810685738325616, 'r_learner': 0.5018931426167438}",0.4365,,
t_learner_ridge+x_learner+hurdle,3,ci_weights,"['t_learner_ridge', 'x_learner', 'hurdle']","{'t_learner_ridge': 0.1292046128815469, 'x_learner': 0.40740740246014084, 'hurdle': 0.46338797251502156}",0.4364,,
dr_learner+t_learner_lgb+x_learner,3,equal,"['dr_learner', 't_learner_lgb', 'x_learner']","{'dr_learner': 0.3333333333333333, 't_learner_lgb': 0.3333333333333333, 'x_learner': 0.3333333333333333}",0.4364,,
dr_learner+t_learner_lgb,2,rank_weights,"['dr_learner', 't_learner_lgb']","{'dr_learner': 0.6666666666666666, 't_learner_lgb': 0.3333333333333333}",0.4363,,
t_learner_ridge+hurdle,2,ci_weights,"['t_learner_ridge', 'hurdle']","{'t_learner_ridge': 0.21803278241736102, 'hurdle': 0.7819671970908362}",0.4362,,
dr_learner+t_learner_lgb,2,ci_weights,"['dr_learner', 't_learner_lgb']","{'dr_learner': 0.5134866480197807, 't_learner_lgb': 0.4865133377837402}",0.4361,,
dr_learner+t_learner_lgb+r_learner,3,ci_weights,"['dr_learner', 't_learner_lgb', 'r_learner']","{'dr_learner': 0.3405517339181647, 't_learner_lgb': 0.3226626464300664, 'r_learner': 0.33678561023645975}",0.4359,,
t_learner_lgb+r_learner,2,equal,"['t_learner_lgb', 'r_learner']","{'t_learner_lgb': 0.5, 'r_learner': 0.5}",0.4357,,
t_learner_lgb+x_learner+r_learner,3,ci_weights,"['t_learner_lgb', 'x_learner', 'r_learner']","{'t_learner_lgb': 0.3308234353622605, 'x_learner': 0.3238729575840047, 'r_learner': 0.34530359740029354}",0.4357,,
dr_learner+t_learner_lgb+r_learner,3,equal,"['dr_learner', 't_learner_lgb', 'r_learner']","{'dr_learner': 0.3333333333333333, 't_learner_lgb': 0.3333333333333333, 'r_learner': 0.3333333333333333}",0.4356,,
t_learner_lgb+t_learner_ridge+r_learner,3,ci_weights,"['t_learner_lgb', 't_learner_ridge', 'r_learner']","{'t_learner_lgb': 0.424764496470445, 't_learner_ridge': 0.131879026625198, 'r_learner': 0.44335646450971167}",0.4352,,
t_learner_lgb+t_learner_ridge+hurdle,3,equal,"['t_learner_lgb', 't_learner_ridge', 'hurdle']","{'t_learner_lgb': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.4349,,
t_learner_lgb+x_learner+r_learner,3,equal,"['t_learner_lgb', 'x_learner', 'r_learner']","{'t_learner_lgb': 0.3333333333333333, 'x_learner': 0.3333333333333333, 'r_learner': 0.3333333333333333}",0.4346,,
t_learner_lgb+x_learner,2,ci_weights,"['t_learner_lgb', 'x_learner']","{'t_learner_lgb': 0.5053081612310798, 'x_learner': 0.4946918240240073}",0.4344,,
t_learner_lgb+r_learner,2,ci_weights,"['t_learner_lgb', 'r_learner']","{'t_learner_lgb': 0.4892918262522583, 'r_learner': 0.5107081594701861}",0.4343,,
t_learner_lgb+t_learner_ridge+x_learner,3,ci_weights,"['t_learner_lgb', 't_learner_ridge', 'x_learner']","{'t_learner_lgb': 0.4367830686109729, 't_learner_ridge': 0.13561050043830614, 'x_learner': 0.4276064182053732}",0.4341,,
r_learner,1,single,['r_learner'],{'r_learner': 1.0},0.434,0.3577,0.018399999999999972
t_learner_lgb+x_learner,2,gap_weights,"['t_learner_lgb', 'x_learner']","{'t_learner_lgb': 0.496411988180667, 'x_learner': 0.503588011819333}",0.4337,,
dr_learner+t_learner_ridge+hurdle,3,equal,"['dr_learner', 't_learner_ridge', 'hurdle']","{'dr_learner': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.4333,,
